date,net_return
2015-02-28,-0.010509880485023864
2015-03-31,0.006391022807160609
2015-04-30,0.006318654445294403
2015-05-31,-0.013439625726048504
2015-06-30,-0.00018255985501693117
2015-07-31,0.020907009919776495
2015-08-31,0.001114671373774035
2015-09-30,-0.01810322464992736
2015-10-31,0.02276716546061378
2015-11-30,0.015610576507285137
2015-12-31,-0.024696138236034643
2016-01-31,0.042688840321848234
2016-03-31,-0.050287381946377545
2016-04-30,0.023947914701915506
2016-05-31,0.007267000855956544
2016-06-30,-0.01054313573679501
2016-07-31,-0.015843593948861173
2016-08-31,-0.0006184066232971632
2016-09-30,-0.03759319974757031
2016-10-31,-0.026513226539246815
2016-11-30,-0.00993332560536066
2016-12-31,-0.02420467508323267
2017-01-31,-0.024205372861214294
2017-02-28,0.017056229329301516
2017-04-30,0.0008099892974719159
2017-05-31,-0.003969452748283211
2017-06-30,0.006235676198764019
2017-07-31,0.010325764342201177
2017-08-31,0.021223624461392167
2017-09-30,0.012324974036087524
2017-10-31,-0.01757392328600061
2017-11-30,-0.010308884028916603
2017-12-31,0.01967056992521214
2018-01-31,-0.003005686313140124
2018-02-28,-0.0063964327033671775
2018-03-31,0.009029916279747462
2018-05-31,-0.044658817327319945
2018-06-30,0.03020338451943887
2018-07-31,-0.0013411705052351099
2018-08-31,-0.01019332809189184
2018-09-30,-0.009538743768881077
2018-10-31,0.014789957470063442
2018-11-30,0.037523022027923854
2018-12-31,-0.034256984091638826
2019-01-31,-0.029495149046117497
2019-02-28,0.04024348834697024
2019-03-31,0.012021023714228724
2019-04-30,0.045675653455507344
2019-06-30,0.000602371222946645
2019-07-31,0.0801749723938408
2019-08-31,-0.04242602378922668
2019-09-30,0.03366526386538928
2019-10-31,-0.024865111520722554
2019-11-30,0.0036922164534029657
2019-12-31,0.023423995183269847
2020-01-31,-0.0027083966970684976
2020-02-29,0.1613123175619763
2020-03-31,-0.05083238707638631
2020-04-30,0.0535524860934596
2020-05-31,-0.06464204264392177
2020-07-31,0.023029259836872252
2020-08-31,-0.006247482073147245
2020-09-30,-0.035710061665819116
2020-10-31,-0.17333897429334683
2020-11-30,-0.010625316438908683
2020-12-31,-0.019492837507944755
2021-01-31,-0.1353686236133136
2021-02-28,0.0196184512818739
2021-03-31,0.007979192218960034
2021-04-30,0.001115858586265051
2021-05-31,0.009469740961434372
2021-06-30,0.06321340079786457
2021-08-31,-0.02446567262357693
2021-09-30,-0.047532101976542805
2021-10-31,0.020249629150930395
2021-11-30,0.011650182302933217
2021-12-31,0.00649071605474159
2022-01-31,0.023315937060185785
2022-02-28,-0.03672452110340017
2022-03-31,-0.04089510807197581
2022-04-30,0.014432972135722791
2022-05-31,-0.03201742843979039
2022-06-30,0.048256866883369255
2022-07-31,-0.009859842039598133
2022-09-30,0.06321897913840104
2022-10-31,-0.00607871826888992
2022-11-30,-0.031319167804599854
2022-12-31,0.0599810850261245
2023-01-31,-0.016789245192888002
2023-02-28,-0.00027311520124133955
2023-03-31,0.00954315667063126
2023-04-30,0.01852730852413265
2023-05-31,0.005463671017183832
2023-06-30,0.0505666168102865
2023-07-31,0.0006083564641837305
2023-08-31,0.036429433738733974
2023-10-31,-0.03506220322719747
2023-11-30,0.019309749777563008
2023-12-31,0.0019070178288220845
2024-01-31,-0.003557943026741904
2024-02-29,-0.0668372192552499
2024-03-31,0.03675186110533375
2024-04-30,0.014301245661169517
2024-05-31,0.025044228666966397
2024-06-30,0.03821238172749994
2024-07-31,0.0006229250429340955
2024-08-31,0.007459338671743664
2024-09-30,0.021771816966543636
2024-11-30,-0.004668749388680003
