date,net_return
2015-02-28,0.0008938147001648302
2015-03-31,-0.007204208944199579
2015-04-30,0.012023202041964345
2015-05-31,-0.03283785489588549
2015-06-30,0.022054076026711854
2015-07-31,0.010845216069419761
2015-08-31,0.01768062954031105
2015-09-30,-5.306982509660897e-05
2015-10-31,0.009481520121514677
2015-11-30,0.009003259605445194
2015-12-31,-0.02896959479527848
2016-01-31,0.013482183462052696
2016-03-31,-0.01568298504904856
2016-04-30,-0.004619761896730782
2016-05-31,0.005497852051704028
2016-06-30,-0.018733707670384264
2016-07-31,-0.018722947433217906
2016-08-31,-0.008634990048099847
2016-09-30,-0.03258586789033585
2016-10-31,0.016909218822644678
2016-11-30,0.005384874402717502
2016-12-31,-0.004221193239075119
2017-01-31,-0.029408456646736723
2017-02-28,0.025309892262057213
2017-04-30,0.004486557899438784
2017-05-31,-0.017388803393543338
2017-06-30,0.005761013382322428
2017-07-31,0.0031124888652256624
2017-08-31,0.013221500112024916
2017-09-30,0.012254814519307322
2017-10-31,0.01320450851064286
2017-11-30,-0.013832458496178477
2017-12-31,0.012797156934689607
2018-01-31,-0.015726136176751712
2018-02-28,0.0007068540714144025
2018-03-31,-0.008283811567318746
2018-05-31,-0.03439347495767764
2018-06-30,0.03496546391445515
2018-07-31,0.011869000000703208
2018-08-31,-0.011627236601154514
2018-09-30,-0.007597010061702454
2018-10-31,-0.0086383167264195
2018-11-30,0.032478851446611806
2018-12-31,-0.04400370411912623
2019-01-31,-0.017751561615376398
2019-02-28,0.026852971949475526
2019-03-31,0.03320938428099344
2019-04-30,0.01862436167408289
2019-06-30,0.0224390020714561
2019-07-31,0.08592300767141628
2019-08-31,-0.04113795438563136
2019-09-30,0.01755516423337026
2019-10-31,-0.018608696331999523
2019-11-30,0.009847500432274975
2019-12-31,0.03557016614315163
2020-01-31,-0.022081944038351918
2020-02-29,0.0786209990138809
2020-03-31,-0.020787288059354637
2020-04-30,0.03129585342412782
2020-05-31,-0.06719514386322717
2020-07-31,0.015231930502188634
2020-08-31,0.023104770994810914
2020-09-30,-0.03397316737606469
2020-10-31,-0.24449239235169762
2020-11-30,-0.008329104518942376
2020-12-31,-0.037634116743864056
2021-01-31,-0.1100390890745927
2021-02-28,0.03322718573848637
2021-03-31,0.01112571475129045
2021-04-30,-0.03057726856561466
2021-05-31,0.012438713408418109
2021-06-30,0.05153721112167084
2021-08-31,-0.03832504216485886
2021-09-30,-0.036513270674353955
2021-10-31,0.04094924713229661
2021-11-30,-0.00519085605638645
2021-12-31,0.009564202879555492
2022-01-31,0.019305913587984776
2022-02-28,-0.04236886186052039
2022-03-31,-0.052008914710635325
2022-04-30,-0.006354394831505412
2022-05-31,-0.042472566064006005
2022-06-30,0.056174660022750164
2022-07-31,-0.01483343631166263
2022-09-30,0.03702422015060789
2022-10-31,0.004798180534537734
2022-11-30,-0.05840876293566445
2022-12-31,0.09506338719141691
2023-01-31,0.006043562878144159
2023-02-28,-0.0002842099840928349
2023-03-31,0.016119047393693846
2023-04-30,0.019604350169638386
2023-05-31,0.04041079214246737
2023-06-30,0.06330047778742279
2023-07-31,-0.00409341491871754
2023-08-31,0.04268376061040642
2023-10-31,-0.01071183069313786
2023-11-30,0.005129239702088657
2023-12-31,-0.00119188893778458
2024-01-31,-0.02662892200828498
2024-02-29,-0.06811824020508273
2024-03-31,0.045075231559748116
2024-04-30,0.029016792329577518
2024-05-31,0.022485912335743128
2024-06-30,0.008045396042569705
2024-07-31,-0.006764966732091824
2024-08-31,0.011036181113027817
2024-09-30,0.024014914898986526
2024-11-30,0.022660552586159503
