,net_return
2010-01-31,-0.03289344089867001
2010-02-28,-0.06932666769732296
2010-03-31,0.016584185133173016
2010-04-30,0.00590117890574123
2010-05-31,0.0712271617993983
2010-06-30,-0.041373134429715956
2010-07-31,0.03571848643668979
2010-08-31,-0.024095974296489034
2010-09-30,0.025810217408439924
2010-10-31,-0.0251112588072562
2010-11-30,-0.10770866313932781
2010-12-31,-0.0011776492172769948
2011-01-31,0.006380270086140511
2011-02-28,0.024418688360029476
2011-03-31,-0.008107089616506953
2011-04-30,0.009103253211708436
2011-05-31,-0.003956588223715073
2011-06-30,0.05154264884168673
2011-07-31,-0.04503799799209363
2011-08-31,0.00941199176468363
2011-09-30,-0.035517589239320975
2011-10-31,0.024187508155922917
2011-11-30,-0.00361109601986348
2011-12-31,-0.05449403660795823
2012-01-31,-0.027957484564810828
2012-02-29,0.03314105781283211
2012-03-31,0.05401699665854874
2012-04-30,0.04608405871451719
2012-05-31,-0.02350747037323528
2012-06-30,0.007840220016925166
2012-07-31,-0.05662803811670157
2012-08-31,-0.027315533634968685
2012-09-30,0.015183975234340298
2012-10-31,-0.019850169885570555
2012-11-30,-0.02103850635959798
2012-12-31,-0.005683555720134956
2013-01-31,0.019908234729193695
2013-02-28,-0.008071958725749917
2013-03-31,0.014991360894656788
2013-04-30,0.00996581321429107
2013-05-31,-0.020096028188016903
2013-06-30,0.018412901919013742
2013-07-31,-0.017227689626068618
2013-08-31,0.03282512146545197
2013-09-30,-0.000700136078832133
2013-10-31,0.060556824815456795
2013-11-30,0.0022284038477370415
2013-12-31,-0.04868077644369495
2014-01-31,-0.01640295374141822
2014-02-28,-0.01146641980723378
2014-03-31,-0.031963432000864975
2014-04-30,0.013042801038853274
2014-05-31,-0.004154421179710785
2014-06-30,0.004198407696164505
2014-07-31,0.0026859165798788377
2014-08-31,0.024519567232140656
2014-09-30,-0.004341246085308022
2014-10-31,0.06122674318065481
2014-11-30,-0.013638735953087518
2014-12-31,0.0810675815897272
2015-01-31,-0.04463352688233368
2015-02-28,0.014740342495962117
2015-03-31,-0.08812356297055632
2015-04-30,0.06150462123751556
2015-05-31,0.01739149395668442
2015-06-30,0.11005593695793894
2015-07-31,0.007952222593908834
2015-08-31,0.09545220306545003
2015-09-30,-0.0016087599985279875
2015-10-31,0.009792875558733708
2015-11-30,0.06426776543079815
2015-12-31,0.0015319017499652238
2016-01-31,-0.010852292423956224
2016-02-29,-0.08189301161996462
2016-03-31,-0.09900210939800004
2016-04-30,0.007003098444776841
2016-05-31,0.02168433830817516
2016-06-30,0.01815631415169319
2016-07-31,-0.02124698901110422
2016-08-31,-0.0087579161815141
2016-09-30,0.014690981962321863
2016-10-31,-0.05328172258583665
2016-11-30,0.029404762093239768
2016-12-31,-0.01516613634434444
2017-01-31,0.015413455808841717
2017-02-28,0.012048531143481306
2017-03-31,0.013351730374218012
2017-04-30,0.06423666798278402
2017-05-31,-0.020458776678658096
2017-06-30,-0.0026478088054579896
2017-07-31,0.04311692063993346
2017-08-31,0.0016559528030453932
2017-09-30,0.059523670486809635
2017-10-31,-0.009927917398550604
2017-11-30,-0.03453812798057981
2017-12-31,0.030645623044873373
2018-01-31,0.0008176049887871171
2018-02-28,-0.016893946218685285
2018-03-31,0.004754206787076035
2018-04-30,0.03593773403165127
2018-05-31,-0.02933830894109835
2018-06-30,0.0027661723466933675
2018-07-31,0.04042586053238947
2018-08-31,-0.019648455377351094
2018-09-30,-0.02794519790576263
2018-10-31,0.022024901867488594
2018-11-30,0.012507925845706168
2018-12-31,-0.03273889252350604
2019-01-31,-0.0014258418931506953
2019-02-28,0.05150534755519221
2019-03-31,-0.017964865085207293
2019-04-30,0.03799465202381591
2019-05-31,-0.0514754368074308
2019-06-30,0.034863544505383634
2019-07-31,0.10644117326433798
2019-08-31,-0.057125349764194124
2019-09-30,0.024968592712420818
2019-10-31,-0.03276594194630675
2019-11-30,-0.03457142915046796
2019-12-31,0.05023754691296038
2020-01-31,0.016516672851412586
2020-02-29,0.1433105455880298
2020-03-31,-0.10128715542410267
2020-04-30,0.04880660811705097
2020-05-31,-0.03577288994348538
2020-06-30,0.062086134058544046
2020-07-31,0.0042942170539753445
2020-08-31,0.0321561819535271
2020-09-30,-0.03226760970927044
2020-10-31,-0.26049309671399556
2020-11-30,-0.037024717669877326
2020-12-31,-0.017501351669436203
2021-01-31,-0.14546972390772597
2021-02-28,-0.011166689385216358
2021-03-31,0.02271567342689684
2021-04-30,-0.02417512908565413
2021-05-31,0.004866089945695649
2021-06-30,0.06676525463979952
2021-07-31,0.01588484755788415
2021-08-31,-0.06446343784756245
2021-09-30,0.068531645042536
2021-10-31,0.07267226035562578
2021-11-30,-0.03020514645411347
2021-12-31,-0.035453941196171214
2022-01-31,0.018665838425866117
2022-02-28,0.014659441068332063
2022-03-31,-0.01305884950230942
2022-04-30,0.06901429101926919
2022-05-31,0.0058591471788072445
2022-06-30,-0.007249944017475692
2022-07-31,0.01723768521605877
2022-08-31,0.011072097883937843
2022-09-30,-0.004129554933709107
2022-10-31,-0.027346143473791124
2022-11-30,0.014055780729393287
2022-12-31,-0.09438447958116396
2023-01-31,0.007262618051559972
2023-02-28,0.019727776547580272
2023-03-31,0.019464894306401925
2023-04-30,0.0312167374868178
2023-05-31,-0.04197107599435714
2023-06-30,-0.0024794771783214274
2023-07-31,0.027004052528829772
2023-08-31,-0.014459274005451708
2023-09-30,0.029996473474742037
2023-10-31,0.004974364298702894
2023-11-30,-0.11274168535627885
2023-12-31,0.05596955947290095
2024-01-31,0.06797801110573494
2024-02-29,-0.11739503560251607
2024-03-31,-0.009406090739947267
2024-04-30,0.03511360783184645
2024-05-31,0.052125861284440335
2024-06-30,-0.0559690677767833
2024-07-31,0.01608800745941668
2024-08-31,-0.013017885280618783
2024-09-30,0.024679597111780645
2024-10-31,0.03552204899577927
2024-11-30,-0.010311607047821726
