,universe_size,composite_coverage,value_quality_coverage
2010-01-31,355,0.2535211267605634,0.18591549295774648
2010-02-28,357,0.5770308123249299,0.45098039215686275
2010-03-31,359,0.6323119777158774,0.4958217270194986
2010-04-30,359,0.6462395543175488,0.5069637883008357
2010-05-31,359,0.6601671309192201,0.5348189415041783
2010-06-30,360,0.6638888888888889,0.5388888888888889
2010-07-31,360,0.675,0.5555555555555556
2010-08-31,359,0.6880222841225627,0.5766016713091922
2010-09-30,359,0.6935933147632312,0.5821727019498607
2010-10-31,359,0.724233983286908,0.6128133704735376
2010-11-30,360,0.8,0.675
2010-12-31,360,0.825,0.6916666666666667
2011-01-31,362,0.9337016574585635,0.6933701657458563
2011-02-28,362,0.9337016574585635,0.7016574585635359
2011-03-31,362,0.9337016574585635,0.7016574585635359
2011-04-30,364,0.9340659340659341,0.7087912087912088
2011-05-31,364,0.9340659340659341,0.7252747252747253
2011-06-30,364,0.9340659340659341,0.728021978021978
2011-07-31,365,0.9342465753424658,0.7315068493150685
2011-08-31,365,0.9342465753424658,0.736986301369863
2011-09-30,365,0.936986301369863,0.7397260273972602
2011-10-31,366,0.9371584699453552,0.7404371584699454
2011-11-30,366,0.9371584699453552,0.7459016393442623
2011-12-31,370,0.9351351351351351,0.745945945945946
2012-01-31,369,0.9349593495934959,0.7533875338753387
2012-02-29,369,0.9349593495934959,0.7560975609756098
2012-03-31,369,0.9376693766937669,0.7588075880758808
2012-04-30,369,0.940379403794038,0.7588075880758808
2012-05-31,368,0.9402173913043478,0.7663043478260869
2012-06-30,370,0.9405405405405406,0.7648648648648648
2012-07-31,371,0.9407008086253369,0.7654986522911051
2012-08-31,371,0.9460916442048517,0.77088948787062
2012-09-30,371,0.9487870619946092,0.7762803234501348
2012-10-31,372,0.9489247311827957,0.7768817204301075
2012-11-30,372,0.9516129032258065,0.7795698924731183
2012-12-31,375,0.952,0.7786666666666666
2013-01-31,376,0.949468085106383,0.776595744680851
2013-02-28,377,0.9496021220159151,0.7824933687002652
2013-03-31,377,0.9496021220159151,0.7824933687002652
2013-04-30,377,0.9496021220159151,0.7824933687002652
2013-05-31,378,0.9497354497354498,0.791005291005291
2013-06-30,379,0.9472295514511874,0.7889182058047494
2013-07-31,379,0.9472295514511874,0.7889182058047494
2013-08-31,379,0.9551451187335093,0.7915567282321899
2013-09-30,380,0.9552631578947368,0.7921052631578948
2013-10-31,380,0.9578947368421052,0.7947368421052632
2013-11-30,380,0.9578947368421052,0.7947368421052632
2013-12-31,379,0.9551451187335093,0.7941952506596306
2014-01-31,380,0.9552631578947368,0.7947368421052632
2014-02-28,380,0.9552631578947368,0.7973684210526316
2014-03-31,380,0.9552631578947368,0.7973684210526316
2014-04-30,381,0.9553805774278216,0.7952755905511811
2014-05-31,382,0.9581151832460733,0.806282722513089
2014-06-30,382,0.9581151832460733,0.8089005235602095
2014-07-31,384,0.9609375,0.8125
2014-08-31,384,0.9635416666666666,0.8151041666666666
2014-09-30,385,0.9636363636363636,0.8155844155844156
2014-10-31,385,0.9636363636363636,0.8181818181818182
2014-11-30,384,0.9635416666666666,0.8177083333333334
2014-12-31,384,0.9635416666666666,0.8203125
2015-01-31,385,0.9636363636363636,0.8207792207792208
2015-02-28,385,0.9636363636363636,0.8207792207792208
2015-03-31,389,0.9640102827763496,0.8226221079691517
2015-04-30,390,0.9641025641025641,0.823076923076923
2015-05-31,390,0.9641025641025641,0.8307692307692308
2015-06-30,391,0.9641943734015346,0.8312020460358056
2015-07-31,394,0.9644670050761421,0.8350253807106599
2015-08-31,394,0.9644670050761421,0.8350253807106599
2015-09-30,397,0.9622166246851386,0.836272040302267
2015-10-31,398,0.9673366834170855,0.8391959798994975
2015-11-30,401,0.9625935162094763,0.8354114713216958
2015-12-31,401,0.9625935162094763,0.8379052369077307
2016-01-31,403,0.9652605459057072,0.8362282878411911
2016-02-29,405,0.9679012345679012,0.8419753086419753
2016-03-31,407,0.9705159705159705,0.8452088452088452
2016-04-30,408,0.9705882352941176,0.8455882352941176
2016-05-31,411,0.9732360097323601,0.8540145985401459
2016-06-30,412,0.9733009708737864,0.8519417475728155
2016-07-31,414,0.9758454106280193,0.8526570048309179
2016-08-31,414,0.9758454106280193,0.8526570048309179
2016-09-30,415,0.9783132530120482,0.8578313253012049
2016-10-31,416,0.9783653846153846,0.8581730769230769
2016-11-30,416,0.9807692307692307,0.8581730769230769
2016-12-31,417,0.9808153477218226,0.8561151079136691
2017-01-31,418,0.9832535885167464,0.8564593301435407
2017-02-28,418,0.9856459330143541,0.8564593301435407
2017-03-31,421,0.9857482185273159,0.8551068883610451
2017-04-30,423,0.9858156028368794,0.8534278959810875
2017-05-31,423,0.9858156028368794,0.8557919621749409
2017-06-30,424,0.9834905660377359,0.8584905660377359
2017-07-31,425,0.9835294117647059,0.8635294117647059
2017-08-31,426,0.9812206572769953,0.863849765258216
2017-09-30,426,0.9835680751173709,0.8685446009389671
2017-10-31,427,0.9836065573770492,0.8688524590163934
2017-11-30,427,0.9859484777517564,0.8735362997658079
2017-12-31,427,0.9859484777517564,0.8735362997658079
2018-01-31,428,0.985981308411215,0.8738317757009346
2018-02-28,428,0.985981308411215,0.8738317757009346
2018-03-31,430,0.986046511627907,0.8744186046511628
2018-04-30,430,0.986046511627907,0.8767441860465116
2018-05-31,430,0.986046511627907,0.8813953488372093
2018-06-30,428,0.985981308411215,0.8808411214953271
2018-07-31,428,0.9883177570093458,0.8808411214953271
2018-08-31,429,0.9883449883449883,0.8834498834498834
2018-09-30,429,0.9883449883449883,0.8857808857808858
