,net_return
2015-02-28,0.014239631258408774
2015-03-31,-0.08812356297055632
2015-04-30,0.06150462123751556
2015-05-31,0.01739149395668442
2015-06-30,0.11005593695793894
2015-07-31,0.007952222593908834
2015-08-31,0.09545220306545003
2015-09-30,-0.0016087599985279875
2015-10-31,0.009792875558733708
2015-11-30,0.06426776543079815
2015-12-31,0.0015319017499652238
2016-01-31,-0.010852292423956224
2016-03-31,-0.09951210939800004
2016-04-30,0.007003098444776841
2016-05-31,0.02168433830817516
2016-06-30,0.01815631415169319
2016-07-31,-0.02124698901110422
2016-08-31,-0.0087579161815141
2016-09-30,0.014690981962321863
2016-10-31,-0.05328172258583665
2016-11-30,0.029404762093239768
2016-12-31,-0.01516613634434444
2017-01-31,0.015413455808841717
2017-02-28,0.012048531143481306
2017-04-30,0.06377000131611735
2017-05-31,-0.020458776678658096
2017-06-30,-0.0026478088054579896
2017-07-31,0.04311692063993346
2017-08-31,0.0016559528030453932
2017-09-30,0.059523670486809635
2017-10-31,-0.009927917398550604
2017-11-30,-0.03453812798057981
2017-12-31,0.030645623044873373
2018-01-31,0.0008176049887871171
2018-02-28,-0.016893946218685285
2018-03-31,0.004754206787076035
2018-05-31,-0.029701099638772765
2018-06-30,0.0027661723466933675
2018-07-31,0.04042586053238947
2018-08-31,-0.019648455377351094
2018-09-30,-0.02794519790576263
2018-10-31,0.022024901867488594
2018-11-30,0.012507925845706168
2018-12-31,-0.03273889252350604
2019-01-31,-0.0014258418931506953
2019-02-28,0.05150534755519221
2019-03-31,-0.017964865085207293
2019-04-30,0.03799465202381591
2019-06-30,0.03441703287747666
2019-07-31,0.10644117326433798
2019-08-31,-0.057125349764194124
2019-09-30,0.024968592712420818
2019-10-31,-0.03276594194630675
2019-11-30,-0.03457142915046796
2019-12-31,0.05023754691296038
2020-01-31,0.016516672851412586
2020-02-29,0.1433105455880298
2020-03-31,-0.10128715542410267
2020-04-30,0.04880660811705097
2020-05-31,-0.03577288994348538
2020-07-31,0.0038011937981613903
2020-08-31,0.0321561819535271
2020-09-30,-0.03226760970927044
2020-10-31,-0.26049309671399556
2020-11-30,-0.037024717669877326
2020-12-31,-0.017501351669436203
2021-01-31,-0.14546972390772597
2021-02-28,-0.011166689385216358
2021-03-31,0.02271567342689684
2021-04-30,-0.02417512908565413
2021-05-31,0.004866089945695649
2021-06-30,0.06676525463979952
2021-08-31,-0.0649750657545392
2021-09-30,0.068531645042536
2021-10-31,0.07267226035562578
2021-11-30,-0.03020514645411347
2021-12-31,-0.035453941196171214
2022-01-31,0.018665838425866117
2022-02-28,0.014659441068332063
2022-03-31,-0.01305884950230942
2022-04-30,0.06901429101926919
2022-05-31,0.0058591471788072445
2022-06-30,-0.007249944017475692
2022-07-31,0.01723768521605877
2022-09-30,-0.004715601445337015
2022-10-31,-0.027346143473791124
2022-11-30,0.014055780729393287
2022-12-31,-0.09438447958116396
2023-01-31,0.007262618051559972
2023-02-28,0.019727776547580272
2023-03-31,0.019464894306401925
2023-04-30,0.0312167374868178
2023-05-31,-0.04197107599435714
2023-06-30,-0.0024794771783214274
2023-07-31,0.027004052528829772
2023-08-31,-0.014459274005451708
2023-10-31,0.00449994569405173
2023-11-30,-0.11274168535627885
2023-12-31,0.05596955947290095
2024-01-31,0.06797801110573494
2024-02-29,-0.11739503560251607
2024-03-31,-0.009406090739947267
2024-04-30,0.03511360783184645
2024-05-31,0.052125861284440335
2024-06-30,-0.0559690677767833
2024-07-31,0.01608800745941668
2024-08-31,-0.013017885280618783
2024-09-30,0.024679597111780645
2024-11-30,-0.010795327978054292
